date,team,opponent,goals,goals_conceded,is_home,elo,opponent_elo,xg,opponent_xg,tournament,city,country,neutral,gf_prom_5,gc_prom_5,elo_prom_5,gf_prom_15,gc_prom_15,total_goals,pace_20,rival_gf_prom_5,rival_gc_prom_5,rival_elo_prom_5,rival_gf_prom_15,rival_gc_prom_15
2023-10-16,Slovakia,Luxembourg,1,0,False,1615.0,1481.0,,,UEFA Euro qualification,Luxembourg,Luxembourg,False,1.6,1.0,1496.8,1.13,0.87,1,2.4,1.6,2.2,1528.8,1.13,1.8
2023-10-16,Sweden,Belgium,1,1,False,1727.0,1968.0,,,UEFA Euro qualification,Brussels,Belgium,False,2.6,1.4,1553.6,2.0,1.4,2,3.0,2.6,0.6,1559.2,1.67,0.8
2023-10-16,Uzbekistan,China PR,2,1,False,1577.0,1435.0,,,Friendly,Dalian,China PR,False,2.0,1.6,1595.2,1.87,0.73,3,2.8,1.8,0.4,1284.2,0.93,1.07
2023-10-16,Liechtenstein,Iceland,0,4,False,1045.0,1516.0,,,UEFA Euro qualification,Reykjavík,Iceland,False,0.2,2.0,1564.8,0.13,2.33,4,3.1,0.8,1.4,1605.0,1.07,1.13
2023-10-16,Russia,Kenya,2,2,False,1756.0,1359.0,,,Friendly,Antalya,Turkey,True,1.0,0.4,1608.8,1.4,0.6,4,2.0,0.8,1.0,1261.2,0.93,1.13
2023-10-16,Kenya,Russia,2,2,True,1359.0,1756.0,,,Friendly,Antalya,Turkey,True,0.8,1.0,1261.2,0.93,1.13,4,2.15,1.0,0.4,1608.8,1.4,0.6
2023-10-16,Nicaragua,Montserrat,3,0,True,1266.0,960.0,,,CONCACAF Nations League,Managua,Nicaragua,False,2.2,1.4,1356.6,1.8,1.27,3,3.05,0.6,2.4,1241.4,1.33,2.0
2023-10-16,Greece,Netherlands,0,1,True,1681.0,1921.0,,,UEFA Euro qualification,Athens,Greece,False,1.8,1.0,1643.4,1.67,0.73,1,2.15,2.0,2.0,1815.0,1.93,1.33
2023-10-16,Iceland,Liechtenstein,4,0,True,1516.0,1045.0,,,UEFA Euro qualification,Reykjavík,Iceland,False,0.8,1.4,1605.0,1.07,1.13,4,2.45,0.2,2.0,1564.8,0.13,2.33
2023-10-16,Algeria,Egypt,1,1,True,1679.0,1659.0,,,Friendly,Al Ain,United Arab Emirates,True,1.8,0.6,1516.6,1.53,0.6,2,2.05,1.6,0.8,1409.4,1.67,0.8
2023-10-16,Anguilla,Saint Martin,0,8,False,585.0,899.0,,,CONCACAF Nations League,Basseterre,Saint Kitts and Nevis,True,0.4,2.6,1009.2,0.27,4.8,8,4.75,2.6,1.4,928.8,1.73,1.73
2023-10-16,Austria,Azerbaijan,1,0,False,1753.0,1427.0,,,UEFA Euro qualification,Baku,Azerbaijan,False,1.8,1.2,1744.2,1.6,1.2,1,3.05,1.0,1.6,1632.8,1.2,1.27
2023-10-16,Azerbaijan,Austria,0,1,True,1427.0,1753.0,,,UEFA Euro qualification,Baku,Azerbaijan,False,1.0,1.6,1632.8,1.2,1.27,1,2.65,1.8,1.2,1744.2,1.6,1.2
2023-10-16,Belgium,Sweden,1,1,True,1968.0,1727.0,,,UEFA Euro qualification,Brussels,Belgium,False,2.6,0.6,1559.2,1.67,0.8,2,2.9,2.6,1.4,1553.6,2.0,1.4
2023-10-16,Bosnia and Herzegovina,Portugal,0,5,True,1574.0,1925.0,,,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,False,0.8,1.4,1384.8,1.07,1.2,5,2.25,3.4,0.4,1575.8,3.13,0.6
2023-10-16,Botswana,Eswatini,2,1,True,1309.0,1277.0,,,Friendly,Lobatse,Botswana,False,0.6,1.0,1438.8,0.8,1.0,3,1.85,0.6,0.8,1463.6,0.87,1.07
2023-10-16,Barbados,Dominican Republic,2,5,False,1029.0,1167.0,,,CONCACAF Nations League,Santiago de los Caballeros,Dominican Republic,False,1.0,3.0,1167.0,0.67,3.2,7,3.45,2.0,1.4,1214.4,1.73,1.53
2023-10-16,Cameroon,Senegal,0,1,False,1613.0,1698.0,,,Friendly,Lens,France,True,1.4,1.2,1529.4,1.07,1.13,1,2.3,1.4,1.0,1536.2,1.67,1.33
2023-10-16,British Virgin Islands,Turks and Caicos Islands,2,2,False,651.0,796.0,,,CONCACAF Nations League,Providenciales,Turks and Caicos Islands,False,1.2,2.4,973.4,0.87,3.27,4,4.45,1.2,1.4,870.4,1.2,4.07
2023-10-16,French Guiana,Saint Vincent and the Grenadines,3,2,True,1302.0,1067.0,,,CONCACAF Nations League,Fort-de-France,Martinique,True,1.8,1.0,1077.6,1.6,1.13,5,2.7,1.8,2.6,1135.4,1.27,2.67
2023-10-16,Eswatini,Botswana,1,2,False,1277.0,1309.0,,,Friendly,Lobatse,Botswana,False,0.6,0.8,1463.6,0.87,1.07,3,2.1,0.6,1.0,1438.8,0.8,1.0
2023-10-16,Egypt,Algeria,1,1,False,1659.0,1679.0,,,Friendly,Al Ain,United Arab Emirates,True,1.6,0.8,1409.4,1.67,0.8,2,2.05,1.8,0.6,1516.6,1.53,0.6
2023-10-16,Gibraltar,Republic of Ireland,0,4,True,1091.0,1549.0,,,UEFA Euro qualification,Faro-Loulé,Portugal,True,0.0,3.2,1647.6,0.4,2.67,4,3.1,1.0,1.6,1677.6,1.2,1.33
